1	Q0	11842003	1	0.31926125	aliasiTerms
1	Q0	12547239	2	0.17306162	aliasiTerms
1	Q0	12547222	3	0.16843523	aliasiTerms
1	Q0	12091367	4	0.13424258	aliasiTerms
1	Q0	11897618	5	0.12837222	aliasiTerms
1	Q0	10582331	6	0.12519288	aliasiTerms
1	Q0	10465251	7	0.11987323	aliasiTerms
1	Q0	14564811	8	0.11701299	aliasiTerms
1	Q0	12382200	9	0.10999133	aliasiTerms
1	Q0	11313311	10	0.108325146	aliasiTerms
1	Q0	12572692	11	0.10575628	aliasiTerms
1	Q0	8791675	12	0.10496433	aliasiTerms
1	Q0	11135094	13	0.10261417	aliasiTerms
1	Q0	9658732	14	0.10241531	aliasiTerms
1	Q0	12377801	15	0.099865384	aliasiTerms
1	Q0	12672948	16	0.0997971	aliasiTerms
1	Q0	8107471	17	0.09970312	aliasiTerms
1	Q0	11774199	18	0.09921314	aliasiTerms
1	Q0	12730111	19	0.096942164	aliasiTerms
1	Q0	9190691	20	0.095320776	aliasiTerms
1	Q0	11377027	21	0.09414105	aliasiTerms
1	Q0	8080980	22	0.09263358	aliasiTerms
1	Q0	11875282	23	0.09262257	aliasiTerms
1	Q0	11987876	24	0.09144816	aliasiTerms
1	Q0	12123233	25	0.09138959	aliasiTerms
1	Q0	12704390	26	0.09046525	aliasiTerms
1	Q0	11005792	27	0.08985238	aliasiTerms
1	Q0	10373684	28	0.08983781	aliasiTerms
1	Q0	7750903	29	0.089391306	aliasiTerms
1	Q0	10227872	30	0.088477716	aliasiTerms
1	Q0	12161425	31	0.08845939	aliasiTerms
1	Q0	9731075	32	0.08834991	aliasiTerms
1	Q0	8610208	33	0.08814529	aliasiTerms
1	Q0	7891834	34	0.08810392	aliasiTerms
1	Q0	12123781	35	0.08807755	aliasiTerms
1	Q0	10457722	36	0.08775975	aliasiTerms
1	Q0	10427322	37	0.08775975	aliasiTerms
1	Q0	7971509	38	0.087704144	aliasiTerms
1	Q0	12917082	39	0.087633125	aliasiTerms
1	Q0	8024686	40	0.08758646	aliasiTerms
1	Q0	8893036	41	0.087484	aliasiTerms
1	Q0	7931413	42	0.08742471	aliasiTerms
1	Q0	10533119	43	0.0874193	aliasiTerms
1	Q0	10587475	44	0.08729445	aliasiTerms
1	Q0	7978501	45	0.08729445	aliasiTerms
1	Q0	11525277	46	0.087276325	aliasiTerms
1	Q0	8087469	47	0.087218225	aliasiTerms
1	Q0	11913143	48	0.08683818	aliasiTerms
1	Q0	12239176	49	0.085719846	aliasiTerms
1	Q0	8253130	50	0.08545547	aliasiTerms
1	Q0	9377591	51	0.08514006	aliasiTerms
1	Q0	11421340	52	0.08501572	aliasiTerms
